0011x00000D1xlPAAR,MINI MERCADO,FAIXA 6,-16.71944444,-49.32055556,0.0
0011x00000D1xktAAB,MINI MERCADO,FAIXA 6,-16.63083333,-49.25138889,12.302437883219584
0011x00000D1xnZAAR,MINI MERCADO,FAIXA 6,-15.73777778,-49.32555556,109.15240583828162
0011x00000D1xngAAB,MINI MERCADO,FAIXA 6,-16.00972222,-48.00166667,161.32298773237804
0011x00000D1xrFAAR,MINI MERCADO,FAIXA 6,-15.44722222,-50.3625,180.00428958076049
0011x00000D1xqEAAR,MINI MERCADO,FAIXA 6,-17.56472222,-52.55805556,356.5859455139106
0011x00000D1xnXAAR,MINI MERCADO,FAIXA 6,-11.7125,-49.04805556,557.4936906639148
0011x00000D1xqGAAR,MINI MERCADO,FAIXA 6,-20.45472222,-53.76027778,625.548879759466
0011x00000D1xr4AAB,MINI MERCADO,FAIXA 6,-1.67916667,-50.47638889,1677.097438232373
0011x00000D1xrCAAR,MINI MERCADO,FAIXA 6,-3.103047,-59.986005,1910.4246256551564
0011x00000D1xlfAAB,MINI MERCADO,FAIXA 6,-3.03,-59.92972222,1913.1969134417088
0011x00000D1xlQAAR,PADARIA,FAIXA 4,-15.8275,-48.07944444,9.493073054631141E-5
0011x00000D1xnYAAR,PADARIA,FAIXA 4,-15.82722222,-47.9225,16.789024831717114
0011x00000D1xlxAAB,PADARIA,FAIXA 4,-16.00277778,-48.06,19.599652844164638
0011x00000D1xnaAAB,PADARIA,FAIXA 4,-16.00527778,-48.07694444,19.768843583740114
0011x00000D1xoBAAR,PADARIA,FAIXA 4,-20.44361111,-52.88083333,721.5525377938211
0011x00000D1xoTAAR,PADARIA,FAIXA 4,-1.43222222,-48.48222222,1601.2137099735742
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xlrAAB,SUPERMERCADO,FAIXA 3,-16.0275,-49.79916667,0.0
0011x00000D1xpJAAR,SUPERMERCADO,FAIXA 3,-15.81666667,-47.98111111,195.80116981508206
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xlUAAR,MINI MERCADO,FAIXA 8,-16.52194444,-50.37444444,0.0
0011x00000D1xmXAAR,MINI MERCADO,FAIXA 8,-16.80611111,-49.92833333,57.065291984585805
0011x00000D1xoKAAR,MINI MERCADO,FAIXA 8,-16.19861111,-52.55611111,235.5151079744179
0011x00000D1xmRAAR,MINI MERCADO,FAIXA 8,-16.37527778,-46.90694444,370.12566070243986
0011x00000D1xr9AAB,MINI MERCADO,FAIXA 8,-11.80805556,-49.52444444,532.0804530075353
0011x00000D1xq3AAB,MINI MERCADO,FAIXA 8,-1.99888889,-54.08138889,1664.976628418823
0011x00000D1xreAAB,MINI MERCADO,FAIXA 8,-8.74361111,-63.85222222,1697.672416243139
0011x00000D1xo0AAB,MINI MERCADO,FAIXA 8,-3.12027778,-60.03861111,1826.4415994651758
0011x00000D1xqZAAR,MINI MERCADO,FAIXA 8,-0.04916667,-51.13805556,1833.5131220052642
0011x00000D1xm3AAB,MINI MERCADO,FAIXA 8,-3.30111111,-60.62166667,1847.8303824980824
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xlWAAR,BAR,FAIXA 5,-15.63,-47.6525,0.0
0011x00000D1xqxAAB,BAR,FAIXA 5,-15.58972222,-47.86833333,23.543144591277294
0011x00000D1xpgAAB,BAR,FAIXA 5,-12.74444444,-60.14333333,1383.8667437063266
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xlxAAB,PADARIA,FAIXA 4,-16.00277778,-48.06,0.0
0011x00000D1xnaAAB,PADARIA,FAIXA 4,-16.00527778,-48.07694444,1.8322328023801755
0011x00000D1xlQAAR,PADARIA,FAIXA 4,-15.8275,-48.07944444,19.599652844164638
0011x00000D1xnYAAR,PADARIA,FAIXA 4,-15.82722222,-47.9225,24.43753514059927
0011x00000D1xoBAAR,PADARIA,FAIXA 4,-20.44361111,-52.88083333,709.1205980989608
0011x00000D1xoTAAR,PADARIA,FAIXA 4,-1.43222222,-48.48222222,1620.754514928756
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xm0AAB,BAR,FAIXA 6,-11.90638889,-61.51305556,9.493073054631141E-5
0011x00000D1xpKAAR,BAR,FAIXA 6,-15.07444444,-57.18472222,585.6825633764904
